time,seconds_elapsed,z,y,x
1718607529644380000,109.4013798828125,56.662498474121094,-34.46249771118164,-38.4375
1718607529694498600,109.45149853515625,56.08124923706055,-34.55624771118164,-38.13750076293945
1718607529744654000,109.50165405273438,55.631248474121094,-34.95000076293945,-38.17499923706055
1718607529794794000,109.5517939453125,55.94999694824219,-34.724998474121094,-37.23749923706055
1718607529844929000,109.60192895507812,55.5,-34.57500076293945,-37.068748474121094
1718607529895035400,109.65203540039063,55.818748474121094,-34.818748474121094,-36.95624923706055
1718607529945202200,109.7022021484375,56.69999694824219,-34.70624923706055,-37.08749771118164
1718607529995355000,109.75235498046875,56.568748474121094,-34.6875,-36.9375
1718607530045503500,109.80250341796875,56.69999694824219,-34.6875,-36.9375
1718607530095631000,109.85263110351562,56.83124923706055,-33.65625,-36.99374771118164
1718607530145794800,109.902794921875,56.381248474121094,-33.09375,-36.318748474121094
1718607530195939300,109.95293920898438,56.69999694824219,-33.71249771118164,-36.24374771118164
1718607530246060300,110.00306030273437,57.1875,-34.40625,-35.568748474121094
1718607530296208000,110.05320776367188,57.65625,-34.46249771118164,-34.96875
1718607530346374100,110.1033740234375,57.63749694824219,-34.64999771118164,-35.58749771118164
1718607530396513300,110.15351318359374,57.318748474121094,-34.59375,-36.1875
1718607530446638600,110.203638671875,57.33749771118164,-34.724998474121094,-36.20624923706055
1718607530496789500,110.25378955078125,57.16874694824219,-35.17499923706055,-36.84375
1718607530546925300,110.30392529296876,57.44999694824219,-34.70624923706055,-37.256248474121094
1718607530597050400,110.35405029296875,57.76874923706055,-34.79999923706055,-36.974998474121094
1718607530647143700,110.40414379882813,57.61874771118164,-35.49374771118164,-37.5
1718607530697280500,110.45428051757813,57,-35.58749771118164,-38.25
1718607530747410400,110.50441040039063,56.53125,-35.21249771118164,-38.36249923706055
1718607530797531000,110.55453076171875,57.44999694824219,-35.58749771118164,-38.25
1718607530847639000,110.60463916015625,58.04999923706055,-36.131248474121094,-38.625
1718607530897792300,110.65479223632812,58.04999923706055,-36.131248474121094,-38.625
1718607530947930000,110.70493017578124,58.18124771118164,-35.73749923706055,-38.58749771118164
1718607530998065000,110.75506494140625,58.48124694824219,-36.224998474121094,-39.54375076293945
1718607531048183000,110.80518310546876,58.18124771118164,-36.224998474121094,-39.54375076293945
1718607531098334700,110.85533471679688,58.03125,-36.01874923706055,-38.756248474121094
1718607531148476000,110.90547583007813,58.349998474121094,-36.375,-38.64374923706055
1718607531198608100,110.95560815429687,58.349998474121094,-36.48749923706055,-38.51250076293945
1718607531248730400,111.00573046875,58.6875,-36.63750076293945,-37.48125076293945
1718607531298895600,111.0558955078125,59.02499771118164,-37.03125,-36.46875
1718607531349033700,111.10603369140625,59.60624694824219,-36.54375076293945,-36.71249771118164
1718607531399166700,111.15616674804687,60.65625,-36.11249923706055,-36.375
1718607531449301000,111.20630102539063,60.54374694824219,-36.54375076293945,-35.51250076293945
1718607531499443500,111.256443359375,60.39374923706055,-37.04999923706055,-35.568748474121094
1718607531549566500,111.30656640625,60.5625,-37.6875,-35.49374771118164
1718607531599667700,111.35666772460938,60.86249923706055,-37.57500076293945,-35.625
1718607531649770000,111.40677001953125,61.3125,-37.29375076293945,-35.45624923706055
1718607531699914500,111.45691455078125,61.76249694824219,-37.23749923706055,-35.006248474121094
1718607531750032600,111.50703271484375,61.93124771118164,-37.33124923706055,-34.70624923706055
1718607531800167000,111.5571669921875,62.08124923706055,-37.27499771118164,-34.10625076293945
1718607531850254300,111.60725439453125,63.01874923706055,-37.27499771118164,-33.05624771118164
1718607531900376800,111.657376953125,63.76874923706055,-36.67499923706055,-32.25
1718607531950474200,111.70747412109375,64.21875,-36.787498474121094,-32.11874771118164
1718607532000590800,111.7575908203125,64.6875,-37.18124771118164,-32.30624771118164
1718607532050685700,111.80768579101563,65.13749694824219,-37.14374923706055,-32.006248474121094
1718607532100810800,111.85781079101562,64.85624694824219,-37.349998474121094,-31.424999237060547
1718607532150933800,111.90793383789062,65.17499542236328,-37.23749923706055,-30.506248474121094
1718607532201026000,111.95802612304688,65.7750015258789,-36.84375,-30.46875
1718607532251138000,112.00813793945312,66.375,-36.84375,-30.487499237060547
1718607532301247500,112.05824755859375,66.5250015258789,-36.39374923706055,-29.831249237060547
1718607532351377400,112.10837744140625,66.5250015258789,-35.849998474121094,-29.474998474121094
1718607532401462300,112.15846215820312,66.9749984741211,-35.64374923706055,-28.85624885559082
1718607532451575300,112.2085751953125,67.14374542236328,-36.16875076293945,-28.912498474121094
1718607532501702700,112.25870263671875,67.3125,-36.506248474121094,-28.5
1718607532551828200,112.308828125,67.9312515258789,-36.29999923706055,-27.881248474121094
1718607532601924900,112.3589248046875,68.4937515258789,-35.83124923706055,-28.29374885559082
1718607532652044800,112.409044921875,69.09375,-35.60625076293945,-28.57499885559082
1718607532702187800,112.45918774414062,68.92499542236328,-35.474998474121094,-28.556249618530273
1718607532752301600,112.50930151367187,68.625,-35.36249923706055,-28.6875
1718607532802389500,112.55938940429688,68.64374542236328,-35.73749923706055,-28.724998474121094
1718607532852523800,112.60952368164062,68.79374694824219,-35.73749923706055,-28.724998474121094
1718607532902634800,112.659634765625,68.92499542236328,-35.60625076293945,-28.724998474121094
1718607532952753200,112.70975317382812,68.7562484741211,-35.006248474121094,-28.94999885559082
1718607533002846500,112.75984643554688,68.5875015258789,-34.93124771118164,-29.549999237060547
1718607533052993000,112.80999291992188,69.0374984741211,-35.08124923706055,-29.71875
1718607533103103200,112.86010327148438,69.3375015258789,-35.08124923706055,-29.71875
1718607533153224000,112.91022387695313,69.0374984741211,-35.25,-30.037498474121094
1718607533203317200,112.96031713867187,69.46875,-34.631248474121094,-30.28125
1718607533253443000,113.01044311523438,69.5999984741211,-33.86249923706055,-30.35624885559082
