time,seconds_elapsed,z,y,x
1718607460412439600,40.169439453125,-79.8687515258789,-17.322500228881836,17.619998931884766
1718607460462544100,40.219544189453124,-81.0875015258789,-16.947500228881836,17.676250457763672
1718607460512638500,40.26963842773438,-81.6875,-17.959999084472656,16.513750076293945
1718607460562766000,40.31976611328125,-81.85624694824219,-18.897499084472656,15.069999694824219
1718607460612880600,40.36988061523437,-82.32499694824219,-18.69124984741211,14.638750076293945
1718607460662998300,40.419998291015624,-82.17499542236328,-18.541250228881836,14.807499885559082
1718607460713083400,40.47008349609375,-81.14374542236328,-18.053749084472656,14.394999504089355
1718607460763210500,40.52021044921875,-81.61249542236328,-17.491249084472656,13.851249694824219
1718607460813311700,40.570311767578126,-82.9625015258789,-18.166250228881836,13.494999885559082
1718607460863418000,40.62041821289063,-83.82499694824219,-18.635000228881836,14.057499885559082
1718607460913497000,40.6704970703125,-83.5250015258789,-17.92249870300293,14.732500076293945
1718607460963620000,40.7206201171875,-82.8125,-16.591249465942383,15.163749694824219
1718607461013719800,40.7707197265625,-82.1937484741211,-16.42249870300293,15.482500076293945
1718607461063828000,40.820827880859376,-82.92499542236328,-16.591249465942383,16.38249969482422
1718607461113914600,40.87091455078125,-82.73749542236328,-16.44124984741211,17.751249313354492
1718607461164041700,40.921041748046875,-81.96875,-16.60999870300293,18.482500076293945
1718607461214151200,40.97115112304687,-82.8125,-17.247499465942383,19.776248931884766
1718607461264255500,41.02125537109375,-84.23749542236328,-18.20374870300293,21.651248931884766
1718607461314326300,41.071326171875,-84.66874694824219,-18.353750228881836,22.701250076293945
1718607461364446700,41.12144677734375,-85.4375,-17.209999084472656,22.682498931884766
1718607461414522600,41.171522705078125,-85.5875015258789,-16.23499870300293,23.545000076293945
1718607461464629500,41.22162939453125,-85.23124694824219,-16.385000228881836,25.626249313354492
1718607461514697700,41.27169775390625,-85.51249694824219,-15.184999465942383,27.42624855041504
1718607461564810800,41.32181079101562,-86.1312484741211,-13.366250038146973,27.763750076293945
1718607461614903000,41.371903076171876,-86.16874694824219,-11.960000038146973,27.763750076293945
1718607461665006000,41.42200610351563,-85.45624542236328,-10.010000228881836,27.969999313354492
1718607461715083800,41.472083740234375,-84.14374542236328,-8.303750038146973,28.28874969482422
1718607461765226000,41.52222607421875,-83.44999694824219,-6.653749942779541,28.138750076293945
1718607461815349200,41.57234936523437,-82.4749984741211,-4.478749752044678,27.013750076293945
1718607461865473300,41.62247338867188,-80.58124542236328,-2.716249942779541,26.563749313354492
1718607461915573000,41.672572998046874,-77.3187484741211,-1.834999918937683,26.170000076293945
1718607461965724700,41.722724609375,-73.625,-0.8787499666213989,25.326250076293945
1718607462015850200,41.772850341796875,-70.7750015258789,-0.5787500143051147,25.47624969482422
1718607462065973000,41.822972900390624,-68.0374984741211,-1.122499942779541,26.151248931884766
1718607462116083000,41.8730830078125,-65.6187515258789,-2.3787498474121094,26.13249969482422
